# Generated by GAMUT v1.0.1
# A Game With Uniformly Random Payoffs
# Game Parameter Values:
# Random seed:	1558352788079
# Cmd Line:	-g RandomGame -players 2 -normalize -min_payoff 0 -max_payoff 1 -f BoS.game -actions 20 20 -f Game.txt
# Players:	2
# Actions:	20 20
# players:	2
# actions:	[20, 20]
[1  1] :	[ 0.5365642684749009 0.32659350128070824 ]
[2  1] :	[ 0.17198373245931814 0.8760611353920079 ]
[3  1] :	[ 0.17520641964346212 0.36985802271698337 ]
[4  1] :	[ 0.4296614681218571 0.1772158483824334 ]
[5  1] :	[ 0.049946418451802185 0.579872724500947 ]
[6  1] :	[ 0.9973199800570703 0.04817208678412031 ]
[7  1] :	[ 0.647232936624488 0.7040508664935913 ]
[8  1] :	[ 0.7241806042916369 0.6785707997484647 ]
[9  1] :	[ 0.7101240702370933 0.5975046800820834 ]
[10  1] :	[ 0.8102116359615554 0.7074822340642565 ]
[11  1] :	[ 0.44473280926265374 0.9153871589328519 ]
[12  1] :	[ 0.03710892803333608 0.44998588943120044 ]
[13  1] :	[ 0.28726981830167 0.6850948763064196 ]
[14  1] :	[ 0.4198257032047456 0.8824855381085407 ]
[15  1] :	[ 0.7951817281181945 0.07037144043363372 ]
[16  1] :	[ 0.328813317955802 0.5669665321532373 ]
[17  1] :	[ 0.12324974890524687 0.7843181524593765 ]
[18  1] :	[ 0.4454565504112376 0.3280182730032874 ]
[19  1] :	[ 0.38533867570932406 0.9400651132208296 ]
[20  1] :	[ 0.48697077084284596 0.7373204217991215 ]
[1  2] :	[ 0.8757182752205138 0.6388085084392853 ]
[2  2] :	[ 0.7433908775290046 0.4295990508853688 ]
[3  2] :	[ 0.8213592398084257 0.1805684961604633 ]
[4  2] :	[ 0.8946618453076575 0.8612305449388818 ]
[5  2] :	[ 0.822053545135752 0.6190656399103394 ]
[6  2] :	[ 0.4580684312103649 0.3352789994148626 ]
[7  2] :	[ 0.5903789144052545 0.30799922222838033 ]
[8  2] :	[ 0.4795855590473866 0.08051166776293685 ]
[9  2] :	[ 0.9678341151726962 0.22139503330005858 ]
[10  2] :	[ 0.7514267686905045 0.6641969729472645 ]
[11  2] :	[ 0.42147744483951527 0.046830773418246326 ]
[12  2] :	[ 0.9424056203172921 0.28461929888440235 ]
[13  2] :	[ 0.42312896556224056 0.5199088531085557 ]
[14  2] :	[ 0.4965197811116186 0.3520333715444009 ]
[15  2] :	[ 0.12918398418318686 0.0020038040219493886 ]
[16  2] :	[ 0.06263327517810599 0.2595510494349958 ]
[17  2] :	[ 0.813263785310922 0.0752451594791337 ]
[18  2] :	[ 0.5097456265988074 0.48634394239562095 ]
[19  2] :	[ 0.32304525700438963 0.7647240340203594 ]
[20  2] :	[ 0.2974747868981621 0.967656281733706 ]
[1  3] :	[ 0.6835488252456058 0.09342131008836818 ]
[2  3] :	[ 0.09792890390938969 0.19120994952315376 ]
[3  3] :	[ 0.5838348572112769 0.8576780626295346 ]
[4  3] :	[ 0.050086862294943815 0.6331344874415487 ]
[5  3] :	[ 0.16690336484309112 0.8271192754702572 ]
[6  3] :	[ 0.9938351257557798 0.9179727440085388 ]
[7  3] :	[ 0.9800802348710599 0.17274742008083308 ]
[8  3] :	[ 0.33251290660027255 0.6219958030689106 ]
[9  3] :	[ 0.3791633638075921 0.5060032663350712 ]
[10  3] :	[ 0.9540906682854576 0.6961874894689505 ]
[11  3] :	[ 0.027758138007023866 0.7834756256008336 ]
[12  3] :	[ 0.7095887345484025 0.2905066020852047 ]
[13  3] :	[ 0.2845008897828067 0.3209315714717116 ]
[14  3] :	[ 0.6059604113361706 0.20989502632816237 ]
[15  3] :	[ 0.47365053468989354 0.2694650939887626 ]
[16  3] :	[ 0.7240991681784322 0.28862152914219835 ]
[17  3] :	[ 0.03285092338003793 0.2085255199893292 ]
[18  3] :	[ 0.3086258020489044 0.7510744977134507 ]
[19  3] :	[ 0.48173478148275284 0.9826691902657274 ]
[20  3] :	[ 0.21900931176011124 0.003784828961806299 ]
[1  4] :	[ 0.9928409032773569 0.4783757664101888 ]
[2  4] :	[ 0.09951203600481419 0.39189882504564294 ]
[3  4] :	[ 0.1311214317606937 0.8480750485240985 ]
[4  4] :	[ 0.23508999741291473 0.11872782171218077 ]
[5  4] :	[ 0.9662148981108125 0.5391936626484771 ]
[6  4] :	[ 0.022357000802229552 0.9768813551502455 ]
[7  4] :	[ 0.30415536627529244 0.6461603812812527 ]
